,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,Rosarito,32.3333,-117.0333,61.75,60,60,3.27,MX,1666591576
329,Scarborough,54.2797,-0.4044,53.78,92,100,3.0,GB,1666591577
330,Honiara,-9.4333,159.95,81.23,84,99,2.35,SB,1666591578
331,Mount Isa,-20.7333,139.5,99.01,17,30,19.84,AU,1666591579
332,Ketchikan,55.3422,-131.6461,48.67,93,100,20.71,US,1666591580
333,Paita,-5.0892,-81.1144,61.21,87,96,9.48,PE,1666591581
334,Ankazoabo,-22.2833,44.5167,84.88,39,0,2.75,MG,1666591582
335,Great Yarmouth,52.6083,1.7305,56.44,88,72,26.28,GB,1666591583
336,Rumoi,43.9344,141.6428,46.45,59,93,9.89,JP,1666591585
337,Cheremshan,54.6667,51.5,38.21,77,88,17.43,RU,1666591586
338,Vysokogornyy,50.1167,139.15,34.0,54,57,8.19,RU,1666591587
339,Usevya,-7.1,31.2333,81.99,35,45,7.78,TZ,1666591588
340,Jumla,29.2747,82.1838,63.0,31,0,7.07,NP,1666591589
341,Coquimbo,-29.9533,-71.3436,54.61,84,3,1.97,CL,1666591336
342,Champerico,14.3,-91.9167,78.26,83,30,3.83,GT,1666591590
343,Severo-Kuril'sk,50.6789,156.125,38.59,72,55,9.1,RU,1666591591
344,Dikson,73.5069,80.5464,28.08,75,100,23.15,RU,1666591592
345,San Miguel de Tucumán,-26.8241,-65.2226,57.2,94,0,6.91,AR,1666591593
346,Kaura Namoda,12.5898,6.5779,75.51,29,100,7.07,NG,1666591593
347,Scottsbluff,41.8666,-103.6672,39.78,67,75,13.8,US,1666591594
348,Prudentópolis,-25.2131,-50.9778,55.76,94,0,2.62,BR,1666591595
349,Zhigansk,66.7697,123.3711,21.29,94,100,35.52,RU,1666591596
350,San Patricio,28.017,-97.5169,80.49,71,94,18.16,US,1666591597
351,Ures,29.4333,-110.4,64.54,75,51,1.86,MX,1666591598
352,Bam,29.106,58.357,82.76,13,0,2.55,IR,1666591599
